Acid gas,HSAS,Velocity,Temperature,Corrosion Rate
0.15,0.5,1.5,88,0.03
0.15,2.25,1.5,88,0.05
0.15,4,1.5,88,0.13
0.25,0.5,1.5,88,0.05
0.25,2.25,1.5,88,0.1
0.25,4,1.5,88,0.2
0.35,0.5,1.5,88,0.05
0.35,2.25,1.5,88,0.1
0.35,4,1.5,88,0.2
0.45,0.5,1.5,88,0.08
0.45,2.25,1.5,88,0.15
0.45,4,1.5,88,0.25
0.55,0.5,1.5,88,0.08
0.55,2.25,1.5,88,0.15
0.55,4,1.5,88,0.25
0.65,0.5,1.5,88,0.1
0.65,2.25,1.5,88,0.2
0.65,4,1.5,88,0.38
0.7,0.5,1.5,88,0.13
0.7,2.25,1.5,88,0.25
0.7,4,1.5,88,0.51
0.15,0.5,1.5,93,0.05
0.15,2.25,1.5,93,0.1
0.15,4,1.5,93,0.2
0.25,0.5,1.5,93,0.08
0.25,2.25,1.5,93,0.15
0.25,4,1.5,93,0.38
0.35,0.5,1.5,93,0.1
0.35,2.25,1.5,93,0.2
0.35,4,1.5,93,0.38
0.45,0.5,1.5,93,0.13
0.45,2.25,1.5,93,0.25
0.45,4,1.5,93,0.51
0.55,0.5,1.5,93,0.18
0.55,2.25,1.5,93,0.38
0.55,4,1.5,93,0.76
0.65,0.5,1.5,93,0.23
0.65,2.25,1.5,93,0.51
0.65,4,1.5,93,1.02
0.7,0.5,1.5,93,0.25
0.7,2.25,1.5,93,0.51
0.7,4,1.5,93,1.02
0.15,0.5,1.5,104,0.13
0.15,2.25,1.5,104,0.25
0.15,4,1.5,104,0.51
0.25,0.5,1.5,104,0.18
0.25,2.25,1.5,104,0.38
0.25,4,1.5,104,0.76
0.35,0.5,1.5,104,0.18
0.35,2.25,1.5,104,0.38
0.35,4,1.5,104,0.89
0.45,0.5,1.5,104,0.25
0.45,2.25,1.5,104,0.51
0.45,4,1.5,104,1.02
0.55,0.5,1.5,104,0.25
0.55,2.25,1.5,104,0.51
0.55,4,1.5,104,1.14
0.65,0.5,1.5,104,0.38
0.65,2.25,1.5,104,0.76
0.65,4,1.5,104,1.52
0.7,0.5,1.5,104,0.51
0.7,2.25,1.5,104,1.02
0.7,4,1.5,104,1.52
0.15,0.5,1.5,116,0.25
0.15,2.25,1.5,116,0.51
0.15,4,1.5,116,1.02
0.25,0.5,1.5,116,0.25
0.25,2.25,1.5,116,0.51
0.25,4,1.5,116,1.02
0.35,0.5,1.5,116,0.38
0.35,2.25,1.5,116,0.76
0.35,4,1.5,116,1.52
0.45,0.5,1.5,116,0.38
0.45,2.25,1.5,116,1.14
0.45,4,1.5,116,2.29
0.55,0.5,1.5,116,0.64
0.55,2.25,1.5,116,1.27
0.55,4,1.5,116,2.54
0.65,0.5,1.5,116,0.76
0.65,2.25,1.5,116,1.52
0.65,4,1.5,116,2.54
0.7,0.5,1.5,116,1.02
0.7,2.25,1.5,116,1.78
0.7,4,1.5,116,2.54
0.15,0.5,1.5,127,0.38
0.15,2.25,1.5,127,0.76
0.15,4,1.5,127,1.52
0.25,0.5,1.5,127,0.51
0.25,2.25,1.5,127,1.02
0.25,4,1.5,127,2.03
0.35,0.5,1.5,127,0.64
0.35,2.25,1.5,127,1.27
0.35,4,1.5,127,2.54
0.45,0.5,1.5,127,0.89
0.45,2.25,1.5,127,1.78
0.45,4,1.5,127,3.05
0.55,0.5,1.5,127,1.02
0.55,2.25,1.5,127,2.03
0.55,4,1.5,127,3.56
0.65,0.5,1.5,127,1.27
0.65,2.25,1.5,127,2.29
0.65,4,1.5,127,3.56
0.7,0.5,1.5,127,1.52
0.7,2.25,1.5,127,2.54
0.7,4,1.5,127,3.81
0.15,0.5,1.5,132,0.51
0.15,2.25,1.5,132,1.02
0.15,4,1.5,132,3.05
0.25,0.5,1.5,132,0.64
0.25,2.25,1.5,132,1.27
0.25,4,1.5,132,2.54
0.35,0.5,1.5,132,0.76
0.35,2.25,1.5,132,2.54
0.35,4,1.5,132,3.81
0.45,0.5,1.5,132,1.14
0.45,2.25,1.5,132,2.29
0.45,4,1.5,132,3.81
0.55,0.5,1.5,132,1.27
0.55,2.25,1.5,132,2.54
0.55,4,1.5,132,4.06
0.65,0.5,1.5,132,1.52
0.65,2.25,1.5,132,2.54
0.65,4,1.5,132,4.06
0.7,0.5,1.5,132,1.78
0.7,2.25,1.5,132,3.05
0.7,4,1.5,132,4.32
0.15,0.5,3,88,0.08
0.15,2.25,3,88,0.15
0.15,4,3,88,0.38
0.25,0.5,3,88,0.15
0.25,2.25,3,88,0.25
0.25,4,3,88,0.64
0.35,0.5,3,88,0.15
0.35,2.25,3,88,0.25
0.35,4,3,88,0.64
0.45,0.5,3,88,0.23
0.45,2.25,3,88,0.38
0.45,4,3,88,0.76
0.55,0.5,3,88,0.23
0.55,2.25,3,88,0.51
0.55,4,3,88,0.76
0.65,0.5,3,88,0.25
0.65,2.25,3,88,0.38
0.65,4,3,88,0.89
0.7,0.5,3,88,0.38
0.7,2.25,3,88,0.76
0.7,4,3,88,1.14
0.15,0.5,3,93,0.15
0.15,2.25,3,93,0.3
0.15,4,3,93,0.64
0.25,0.5,3,93,0.23
0.25,2.25,3,93,0.51
0.25,4,3,93,1.14
0.35,0.5,3,93,0.25
0.35,2.25,3,93,0.64
0.35,4,3,93,1.02
0.45,0.5,3,93,0.38
0.45,2.25,3,93,0.76
0.45,4,3,93,1.02
0.55,0.5,3,93,0.51
0.55,2.25,3,93,1.14
0.55,4,3,93,1.52
0.65,0.5,3,93,0.76
0.65,2.25,3,93,1.02
0.65,4,3,93,2.03
0.7,0.5,3,93,0.76
0.7,2.25,3,93,1.52
0.7,4,3,93,2.03
0.15,0.5,3,104,0.38
0.15,2.25,3,104,0.76
0.15,4,3,104,1.52
0.25,0.5,3,104,0.51
0.25,2.25,3,104,1.02
0.25,4,3,104,1.52
0.35,0.5,3,104,0.51
0.35,2.25,3,104,1.14
0.35,4,3,104,1.78
0.45,0.5,3,104,0.78
0.45,2.25,3,104,1.52
0.45,4,3,104,2.03
0.55,0.5,3,104,0.76
0.55,2.25,3,104,1.52
0.55,4,3,104,2.29
0.65,0.5,3,104,1.02
0.65,2.25,3,104,1.52
0.65,4,3,104,2.54
0.7,0.5,3,104,1.52
0.7,2.25,3,104,2.03
0.7,4,3,104,2.54
0.15,0.5,3,116,0.76
0.15,2.25,3,116,1.52
0.15,4,3,116,2.03
0.25,0.5,3,116,0.76
0.25,2.25,3,116,1.27
0.25,4,3,116,2.03
0.35,0.5,3,116,1.02
0.35,2.25,3,116,1.52
0.35,4,3,116,2.54
0.45,0.5,3,116,1.14
0.45,2.25,3,116,2.29
0.45,4,3,116,3.05
0.55,0.5,3,116,1.91
0.55,2.25,3,116,2.54
0.55,4,3,116,3.81
0.65,0.5,3,116,2.54
0.65,2.25,3,116,2.54
0.65,4,3,116,3.81
0.7,0.5,3,116,2.54
0.7,2.25,3,116,3.05
0.7,4,3,116,3.81
0.15,0.5,3,127,1.14
0.15,2.25,3,127,2.29
0.15,4,3,127,3.05
0.25,0.5,3,127,1.52
0.25,2.25,3,127,2.03
0.25,4,3,127,3.05
0.35,0.5,3,127,1.78
0.35,2.25,3,127,2.54
0.35,4,3,127,3.56
0.45,0.5,3,127,1.78
0.45,2.25,3,127,3.3
0.45,4,3,127,3.81
0.55,0.5,3,127,2.54
0.55,2.25,3,127,3.56
0.55,4,3,127,4.57
0.65,0.5,3,127,3.05
0.65,2.25,3,127,3.56
0.65,4,3,127,4.57
0.7,0.5,3,127,3.05
0.7,2.25,3,127,3.81
0.7,4,3,127,4.57
0.15,0.5,3,132,1.52
0.15,2.25,3,132,2.03
0.15,4,3,132,3.81
0.25,0.5,3,132,1.91
0.25,2.25,3,132,2.54
0.25,4,3,132,3.81
0.35,0.5,3,132,2.03
0.35,2.25,3,132,3.81
0.35,4,3,132,4.57
0.45,0.5,3,132,2.54
0.45,2.25,3,132,3.81
0.45,4,3,132,4.57
0.55,0.5,3,132,3.05
0.55,2.25,3,132,3.81
0.55,4,3,132,5.08
0.65,0.5,3,132,3.81
0.65,2.25,3,132,3.81
0.65,4,3,132,5.08
0.7,0.5,3,132,3.81
0.7,2.25,3,132,3.81
0.7,4,3,132,5.59
0.55,0.5,3,116,1.91
0.7,2.25,1.5,116,1.27
0.35,2.25,3,132,1.52
0.15,2.25,3,116,2.54
0.45,0.5,1.5,132,0.64
0.55,2.25,1.5,132,0.76
0.45,4,1.5,88,1.02
0.65,0.5,3,132,2.54
0.7,0.5,1.5,116,0.51
0.7,0.5,3,104,2.54
0.7,0.5,3,93,0.51
0.55,0.5,3,104,2.03
0.65,0.5,1.5,104,0.38
0.65,0.5,1.5,93,0.51
0.35,4,1.5,93,0.25
0.35,0.5,1.5,127,0.38
0.15,4,3,88,1.14
0.25,4,3,104,1.02
0.25,0.5,3,93,0.25
